"name","teams","minutes","fifa","APM","AugAPM","AugAPMSE"
"Yaya Touré","Manchester City",2424,85,0.149398752228999,0.186669029179744,0.0940873899582455
"Moussa Dembélé","Tottenham Hotspur",2367,80,0.166188452324093,0.179659992648473,0.0955455166762018
"Mesut Özil","Arsenal",3060,87,0.12317457510803,0.17192532636272,0.0953037832028798
"Alexis Sánchez","Arsenal",2499,86,0.11620470946005,0.170663408930477,0.0973638371379587
"Yannick Bolasie","Crystal Palace",2189,76,0.157352386946345,0.1466418422919,0.0957710605786941
"Riyad Mahrez","Leicester City",3122,73,0.144737373670647,0.140782479016476,0.0970385481762557
"Pedro Rodríguez Ledesma","Chelsea",2050,83,0.117960219915545,0.137605488154668,0.0939370565204067
"Eliaquim Mangala","Manchester City",2108,80,0.13457648936806,0.135320653712905,0.0960839453307935
"Pablo Zabaleta","Manchester City",1118,82,0.0974818703711836,0.129723389748204,0.0951401722727308
"Kevin De Bruyne","Manchester City",2100,86,0.0750249856549072,0.129341369683455,0.0938479636752781
"Jesús Navas González","Manchester City",2401,81,0.123405812914791,0.129189594422538,0.0930912335849432
"Roberto Firmino Barbosa de Oliveira","Liverpool",2054,82,0.085377125099352,0.128091301094898,0.0936325679575088
"Christian Eriksen","Tottenham Hotspur",3061,83,0.0667913268624349,0.125030015420362,0.0953366057289064
"Harry Kane","Tottenham Hotspur",3510,78,0.115689580906582,0.124638115207518,0.095331243479545
"Toby Alderweireld","Tottenham Hotspur",3595,81,0.0806147402395502,0.120207839563717,0.0966085424227907
"N'Golo Kanté","Leicester City",3203,76,0.0908766123486331,0.119658187654147,0.097178064198697
"Eden Hazard","Chelsea",2116,89,0.0507874144323563,0.119425098936407,0.0966215584769972
"Salomón Rondón","West Bromwich Albion",2660,80,0.0753913089556607,0.118636679954674,0.0947011668879281
"Laurent Koscielny","Arsenal",2899,83,0.081320280918549,0.117826451758535,0.092972106034929
"Santiago Cazorla González","Arsenal",1363,85,0.0569113997006471,0.113426282563156,0.0976228701124184
"Bastian Schweinsteiger","Manchester United",1258,86,0.0458026777769027,0.112551719880287,0.0956979050369766
"Wilfried Bony","Manchester City",1306,81,0.0817293226396226,0.112302970996109,0.096406315688439
"Wayne Rooney","Manchester United",2516,86,0.0517134082869868,0.111810727575018,0.0973156988915261
"Kolo Touré","Liverpool",910,78,0.0947728218795769,0.111458168769746,0.0940925958395362
"Dimitri Payet","West Ham United",2626,81,0.0625039271592013,0.110585832119771,0.0973922036946395
"Kyle Walker","Tottenham Hotspur",3093,79,0.0821938325732074,0.108858494376098,0.0956945029500577
"Jack Cork","Swansea City",2697,77,0.0919382078085208,0.108570469148951,0.0953858008677562
"Séamus Coleman","Everton",2428,81,0.0831574916527352,0.108336523201591,0.0964297738531023
"Vincent Kompany","Manchester City",1231,85,0.0368028349887201,0.10820867399221,0.0979329083737948
"José Miguel da Rocha Fonte","Southampton",3348,81,0.0527356633680981,0.107072296326697,0.0971590173088059
"Daniel Sturridge","Liverpool",1027,83,0.0363289947771959,0.106902511644275,0.0979164905541349
